Num. Nodes,Num. Parallel Edges,Num. Src/Sinks,Min. Target Flow,Optimal MILP Value,Relaxed LP Value,ACO 1,ACO 2,ACO 3,ACO 4,ACO 5,ACO 6,ACO 7,ACO 8,ACO 9,ACO 10,Avg. ACO Value,Optimality Gap
321,1,10,1000,829051.8365,831775.0859,1250354.381,1330305.487,1233887.701,1389710.116,1312207.757,1226336.198,1243410.926,1323838.65,1301186.309,1315491.251,1292672.878,55.92
54,1,10,1000,658377.1597,659960.6401,701926.9269,705183.8557,700514.3602,690111.7901,692778.5888,706798.8356,697656.2555,711782.6927,706640.8775,701273.8172,701466.8,6.54
330,1,5,500,449758.2622,449758.6067,827633.0992,880024.0394,841844.4153,859412.2483,836874.5855,779868.0612,765857.4158,913234.406,818254.9114,876352.0726,839935.5255,86.75
248,1,5,500,356890.9161,358024.5409,382127.8395,418077.6699,408759.9457,400304.8082,448353.4599,449388.8169,418470.6587,441762.3712,426188.1461,401287.6875,419472.1404,17.54
172,1,1,100,123967.2061,124072.6213,123967.2061,123967.2061,123967.2061,123967.2061,124072.579,123967.2061,123967.2061,123967.2061,124072.579,123967.2061,123988.2807,0.02
143,1,5,500,395249.4316,396957.9171,593388.2291,576839.8262,581911.7665,570408.4926,521886.9295,592940.6532,580977.9945,561996.8439,555055.9366,555692.6555,569109.9328,43.99
99,1,5,500,358544.5707,362809.1934,414448.103,402612.8882,390526.1327,380889.3532,419937.218,397119.1912,392215.2601,389897.9535,389052.1009,423189.598,399988.7799,11.56
312,1,1,100,181790.2159,181790.2185,259077.3312,233143.3752,224925.6565,246469.8813,232707.5949,256192.7161,257813.8725,233488.7772,252895.835,241298.55,243801.359,34.11
338,1,10,1000,798248.2598,799557.2691,1151719.96,1146082.846,1017136.495,1051909.997,1137549.02,1083718.398,1104246.78,1180276.794,1157079.58,1055991.592,1108571.146,38.88
380,1,10,1000,709946.5923,711927.3514,1046191.967,1021490.586,957799.9112,1034254.853,1056646.666,988483.6943,1055778.638,1061966.686,1003754.574,1014339.219,1024070.679,44.25
111,1,1,100,138074.675,139571.5508,138748.6696,138840.8289,138840.8289,149013.8713,139514.8236,139571.5769,149063.4648,139571.5769,149235.1918,139514.8236,142191.5656,2.98
394,1,5,500,432198.0892,432707.0372,743980.9857,757005.6133,772801.411,762375.7817,735453.949,780803.6278,790918.2316,728941.4497,716796.66,752516.074,754159.3784,74.49
352,1,5,500,552569.5565,555538.0777,923377.1268,862883.3564,836331.6026,913794.9488,968349.41,852718.8072,895226.7742,935545.2245,938729.3053,968102.057,909505.8613,64.60
373,1,1,100,132545.2518,132545.2518,243216.6886,246034.5743,233455.7245,247518.6628,223756.019,222856.6737,241567.7878,197155.5374,242923.1921,214201.7611,231268.6621,74.48
238,1,5,500,371710.885,371739.1925,482324.1814,512888.484,488814.001,514719.5766,488432.2709,507907.1956,492821.0972,503501.2739,526797.3908,534896.6667,505310.2138,35.94
302,1,1,100,189087.9966,192792.9669,231145.1441,268471.2864,268037.6912,241669.9498,277817.6926,267860.3693,269462.4929,241630.4363,282034.2758,286670.8118,263480.015,39.34
109,1,1,100,58247.80911,58247.809,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,58247.80911,0.00
152,1,1,100,101958.7293,101958.7294,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,101958.7293,0.00
75,1,5,500,413367.6237,413628.9148,690623.0099,676603.4263,646034.0931,710294.2326,666423.9686,704081.7922,700527.9154,689567.7024,683593.8778,682884.263,685063.4281,65.73
332,1,10,1000,867525.9085,868999.0585,1696143.251,1692490.643,1731980.97,1773351.738,1784395.539,1780071.537,1674126.695,1669559.41,1713096.198,1759170.185,1727438.617,99.12
104,1,5,500,392703.2024,393578.1,540814.2587,538110.5775,523720.038,532365.7207,532462.1481,530230.1659,485284.6486,537091.6568,520827.415,521774.2477,526268.0877,34.01
326,1,5,500,485068.2772,485495.416,680225.223,805965.043,753086.5963,748188.9494,710250.7384,770915.149,774476.4407,783129.2802,727086.1607,726113.3699,747943.6951,54.19
183,1,1,100,99901.07102,99901.07135,109479.0686,109479.0686,99901.07102,99901.07102,99901.07102,99901.07102,99901.07102,99901.07102,99901.07102,99901.07102,101816.6705,1.92
340,1,1,100,128649.4131,129127.8778,129128.3169,128649.4131,128649.4131,128649.4131,128649.4131,130630.4246,129128.3169,129595.8177,138754.7446,128649.4131,130048.4686,1.09
246,1,10,1000,683376.5731,686531.0533,926191.0312,854084.6385,890799.363,879608.508,890990.2216,855417.5294,780967.5239,880963.0862,875583.7244,870787.6386,870539.3265,27.39
166,1,5,500,427975.7881,431241.8156,537059.7024,540596.1889,566764.5009,540536.0269,560407.2934,565646.9566,524543.7142,518782.9822,563195.7498,506347.3578,542388.0473,26.73
388,1,5,500,427833.9181,428140.7036,732889.9299,781361.0147,734410.3319,773358.7017,758361.6799,787082.2766,749455.6848,770386.4842,733028.7077,703582.9679,752391.7779,75.86
205,1,1,100,132036.8476,132036.8436,141946.8921,132306.3735,132036.8476,132306.3735,139123.9622,132036.8476,140606.6002,132036.8476,140876.1261,141724.9751,136500.1845,3.38
